0.065,56,0,0,9,9,1,
0.065,218,0,0,12,27,5,
0.065,311,0,0,14,54,8,
0.065,416,0,0,16,90,7,
0.065,529,0,0,24,135,5,
0.065,640,0,0,31,189,4,
0.065,728,0,0,40,252,6,
0.065,846,0,0,45,324,5,
0.065,936,0,0,50,405,3,
0.065,1036,0,0,50,495,7,
0.065,1138,0,0,52,594,6,
0.065,1255,0,0,55,702,5,
0.065,1362,0,0,60,819,8,
0.065,1500,0,0,62,945,7,
0.065,1596,0,0,67,1080,5,
0.065,1694,0,0,72,1224,5,
0.065,1785,0,0,79,1377,4,
0.065,1888,0,0,80,1539,6,
0.065,1988,0,0,84,1710,5,
0.065,2082,0,0,93,1890,7,
0.065,2185,0,0,98,2079,9,
